"Package" "Version"
"abind" "1.4-5"
"Amelia" "1.7.6"
"ape" "5.4-1"
"arsenal" "3.6.2"
"askpass" "1.1"
"assertthat" "0.2.1"
"AssocTests" "1.0-1"
"backports" "1.2.1"
"base" "4.0.3"
"base64enc" "0.1-3"
"bayesplot" "1.8.0"
"bayestestR" "0.8.2"
"BBmisc" "1.11"
"bcjupyterimport" "0.1"
"bdsmatrix" "1.3-4"
"betareg" "3.1-4"
"BH" "1.75.0-0"
"BiasedUrn" "1.07"
"biglm" "0.9-2.1"
"BiocManager" "1.30.10"
"bit" "4.0.4"
"bit64" "4.0.5"
"bitops" "1.0-6"
"blob" "1.2.1"
"boot" "1.3-27"
"Boruta" "7.0.0"
"brew" "1.0-6"
"bridgesampling" "1.0-0"
"brio" "1.1.1"
"brms" "2.15.0"
"brmstools" "0.5.3"
"Brobdingnag" "1.2-6"
"broom" "0.7.5"
"bslib" "0.2.4"
"cachem" "1.0.4"
"calibrate" "1.7.7"
"callr" "3.5.1"
"car" "3.0-10"
"carData" "3.0-4"
"caret" "6.0-86"
"cellranger" "1.1.0"
"checkmate" "2.0.0"
"class" "7.3-18"
"cli" "2.3.1"
"clipr" "0.7.1"
"clisymbols" "1.2.0"
"cluster" "2.1.1"
"ClustOfVar" "1.1"
"cmprsk" "2.2-10"
"coda" "0.19-4"
"codetools" "0.2-18"
"coin" "1.4-1"
"colorspace" "2.0-0"
"colourpicker" "1.1.0"
"combinat" "0.0-8"
"commonmark" "1.7"
"compiler" "4.0.3"
"CompQuadForm" "1.4.3"
"conquer" "1.0.2"
"corpcor" "1.6.9"
"covr" "3.5.1"
"cowplot" "1.1.1"
"coxme" "2.2-16"
"cpp11" "0.2.6"
"crayon" "1.4.1"
"credentials" "1.3.0"
"crosstalk" "1.1.1"
"cubature" "2.0.4.1"
"curl" "4.3"
"cyclocomp" "1.1.0"
"data.table" "1.14.0"
"data.tree" "1.0.0"
"DataExplorer" "0.8.2"
"datasets" "4.0.3"
"DBI" "1.1.1"
"dbplyr" "2.1.0"
"desc" "1.3.0"
"devtools" "2.3.2"
"DiagrammeR" "1.0.6.1"
